文件	文本标题	源文件正文状态	原有章标题数	节号标记数	注释数	字节数	SHA256
01_Genesis.txt	创世纪	有正文	50	1532	153	216817	5aa7ec52134cb59d62488aedeb8122a4254792eb61a58c112a8059eefd416790
02_Exodus.txt	出谷纪	仅第一章	1	22	3	2921	c99b3b3e6eb6acb44f2b18fbab82965cbbc9b829f6feb0a227fcfb0a65609986
03_Leviticus.txt	利未纪	仅书名，无正文	0	0	0	10	af2d9f733ad87c606eecc6079fa3ad8151a50a4beb292791edc79911bfe718bf
04_Numbers.txt	户籍纪	仅书名，无正文	0	0	0	10	c6658f24273665858d012f16369ef6e74fbf5fc236e7d2406bd7de63654415dc
05_Deuteronomy.txt	申命纪	仅书名，无正文	0	0	0	10	d2944244f27ebe35392075afe9ba65beefee22fab4fb3bbcb544d721157bbdbe
06_Joshua.txt	约书亚书	仅书名，无正文	0	0	0	13	606e557e6e77ee07282886319256c3a715d3c727dfdb70cf96d31717533e835c
07_Judges.txt	民长纪	仅书名，无正文	0	0	0	10	ba3127ca5d44533176777e166dd08fb9f431a4e71c4071d2f7cb3b2df8ca1ada
08_Ruth.txt	路得传	仅书名，无正文	0	0	0	10	1f01fd88cab4c75c9e79135113434b61a679f85a3f0dad839968a1a70b49c93e
09_1_Samuel.txt	撒母耳纪上	仅书名，无正文	0	0	0	16	782e6fdceed44283f68bab6780bd62a50c4066c97efd2dd745257f81f8cfe37d
10_2_Samuel.txt	撒母耳纪下	仅书名，无正文	0	0	0	16	c8acec8c3d7110f7500aa0f96e982d6e0ba3c236e74ca7d2bce89a4f672859bc
11_1_Kings.txt	列王纪上	仅书名，无正文	0	0	0	13	18ba7a759ca95d42883186b02c8ad1494ea1e145446bd6d68db33544a691e402
12_2_Kings.txt	列王纪下	仅书名，无正文	0	0	0	13	98211e452d92857c7888dfa22f610ec41a1856722ef0ba230779db002de8f1d3
13_1_Chronicles.txt	编年纪上	仅书名，无正文	0	0	0	13	1136c2f32bd2a02ed5a9cca643fc74641d623d4ac1915321b9a7ada481daefea
14_2_Chronicles.txt	编年纪下	仅书名，无正文	0	0	0	13	a89ca6dbed03678a9386e8e52e00163d05cf243e362d3e7bebb9c243476ff72a
15_Ezra.txt	以斯拉上	仅书名，无正文	0	0	0	13	a016e24438d9208ef03a1666d04c418e9fc571f219403333fbc4ce98809d1b18
16_Nehemiah.txt	以斯拉下	仅书名，无正文	0	0	0	41	3d837a22ec082b8fd9f4bf66a5b0b7eb1f359faa642476c5244eeb420919deff
17_Tobit.txt	多俾亚传	仅书名，无正文	0	0	0	13	51d885dcbb43d5a6ed03921d0127403bcaf0b51bf95510aafc8108b67eec6337
