文件	章或段	来源	说明
01_Genesis.txt	1	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	2	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	3	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	4	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	5	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	6	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	7	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	8	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	9	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	10	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	11	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	12	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	13	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	14	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	15	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	16	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	17	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	18	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	19	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	20	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	21	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	22	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	23	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	24	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	25	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	26	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	27	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	28	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	29	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	30	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	31	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	32	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	33	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	34	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	35	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	36	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	37	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	38	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	39	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	40	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	41	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	42	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	43	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	44	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	45	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	46	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	47	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	48	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	49	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
01_Genesis.txt	50	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/01_Genesis.tex	原有正文与注释，保持本仓库之前的转换内容
02_Exodus.txt	1	https://github.com/IoannesRui/bible/blob/6cfbf71622ead0aaef5a1f6c03d62b01a42a169c/books/02_Exodus.tex	原有正文与注释，保持本仓库之前的转换内容
02_Exodus.txt	2	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_2_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	3	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_3_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	4	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_4_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	5	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_5_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	6	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_6_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	7	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_7_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	8	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_8_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	9	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_9_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	10	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_10_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	11	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_11_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	12	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_12_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	13	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_13_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	14	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_14_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	15	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_15_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	16	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_16_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	17	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_17_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	18	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_18_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	19	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_19_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	20	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_20_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	21	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_21_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	22	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_22_.html	补齐正文，繁转简并统一译名
02_Exodus.txt	23	https://www.ccreadbible.org/chinesebible/sigao/Exodus_bible_Ch_23_.html	补齐正文，繁转简并统一译名
