原文	改后	次数	类型
丁哈巴	亭哈巴	2	译名
三松	参孙	47	译名
上主	耶和华	7877	译名
丕东	毗敦	2	译名
丕乃哈斯	非尼哈	31	译名
丕兰	毗兰	1	译名
丕农	比嫩	2	译名
丕哈希洛特	比哈希录	4	译名
丕息狄雅	彼西底	2	译名
丕斯加	毘斯迦	8	译名
丕斯帕	毗斯巴	1	译名
丕洛	毕罗斯	1	译名
丕耳哈	毗利哈	1	译名
丕耳泰	毗勒太	1	译名
丕耳达士	必达	1	译名
丕贝色特	比伯实	1	译名
丕辣通	比拉顿	6	译名
丕通	比东	2	译名
丕雄	比逊	2	译名
丹	但	86	按语境区分译名
丹	但	9	译名
乃勒乌	尼利亚	1	译名
乃堂默肋客	拿单米勒	1	译名
乃塔乃耳	拿坦业	14	译名
乃塔因	尼他应	1	译名
乃塔尼雅	尼探雅	20	译名
乃尔	尼珥	17	译名
乃尔加耳	匿甲	1	译名
乃尔加耳沙勒责尔	尼甲沙利薛	2	译名
乃巴拉特	尼八拉	1	译名
乃巴特	尼八	26	译名
乃巴约特	尼拜约	5	译名
乃慕耳	尼母利	4	译名
乃托法	尼陀法	12	译名
乃拜	尼拜	1	译名
乃斐格	尼斐	1	译名
乃步匝辣当	尼布撒拉旦	15	译名
乃步沙次班	尼布沙斯班	2	译名
乃波	尼波	13	译名
乃漆亚	尼细亚	2	译名
乃漆布	尼悉	1	译名
乃科达	尼哥大	4	译名
乃耶耳	尼业	1	译名
乃胡市达	尼护施她	1	译名
乃苛	尼哥	9	译名
乃费托亚	尼弗多亚	2	译名
乃费格	尼斐	3	译名
乃赫米雅	尼希米	22	译名
乃达彼雅	尼大比雅	1	译名
乃阿颇里	尼亚坡里	1	译名
乃阿黎雅	尼利雅	3	译名
乃非心	尼普心	2	译名
乃革布	南地	11	按语境区分译名
乃革布	南地	6	译名
乃革布	南方	2	按语境区分译名
乃黎	尼利	2	译名
乃黎雅	尼利亚	11	译名
乌加耳	乌甲	1	译名
乌匝	乌撒	16	译名
乌匝耳	乌萨	3	译名
乌尔	吾珥	6	译名
乌曾舍厄辣	乌羡舍伊拉	1	译名
乌来	乌莱	2	译名
乌泰	乌太	2	按语境区分译名
乌蓝	乌兰	4	译名
乌黎耳	乌列	5	译名
乌黎雅	乌利亚	40	译名
乌齐	乌西	14	译名
乌齐耳	乌薛	20	译名
乌齐雅	乌西亚	1	按语境区分译名
乌齐雅	乌西雅	33	按语境区分译名
亚伯尔	亚伯	15	译名
亚北底亚	俄巴底亚	2	译名
亚历山大里亚	亚历山大	4	译名
亚巴辣罕	亚伯拉罕	3	译名
亚巴郎	亚伯兰	72	译名
亚巴郎	亚伯拉罕	323	译名
亚毛斯	阿摩司	11	译名
亚纳	亚拿	1	按语境区分译名
亚纳	亚拿	10	译名
亚纳	哈拿	17	按语境区分译名
亚纳斯	亚那	5	译名
亚贝辣罕	亚伯拉罕	1	译名
亚郎	亚伦	378	译名
亲	寻	10	按语境区分译名
仆托肋买	多利买	20	译名
仆洛曷洛	伯罗哥罗	1	译名
伍兹	乌斯	5	译名
伯多禄	彼得	188	译名
伯拉。	伯拉河。	1	补全河名
伯达尼	伯大尼	13	译名
依兰	以兰	2	译名
依兹哈尔	以斯哈	16	译名
依则贝耳	耶洗别	23	译名
依刻士	益吉	3	译名
依加波得	以迦博	2	译名
依加耳	以甲	2	译名
依卡耳	以迦	1	译名
依史	以示	5	译名
依史雅	伊示雅	5	按语境区分译名
依史雅	耶西亚	1	按语境区分译名
依史雅	耶西雅	1	按语境区分译名
依因阿巴陵	以耶亚巴琳	2	译名
依塔卡亲	以特加汛	1	译名
依塔玛尔	以他玛	21	译名
依士	伊施	1	译名
依多	易多	15	按语境区分译名
依尔	以珥	1	按语境区分译名
依尔	以路	1	按语境区分译名
依尔	以路	1	译名
依尔培耳	伊利毗勒	1	译名
依尔米雅	雅利米雅	1	译名
依尔纳哈士	珥拿辖	1	译名
依尔舍默士	伊珥示麦	1	译名
依市伟	亦施韦	5	译名
依市巴	益巴	1	译名
依市巴克	伊施巴	2	译名
依市巴耳	伊施巴力	2	按语境区分译名
依市巴耳	伊施波设	16	按语境区分译名
依市巴耳	伊施波设	2	译名
依市巴耳	约设巴设	1	按语境区分译名
依市帕	伊施巴	1	译名
依市旁	伊施班	1	译名
依市曷得	伊施荷	1	译名
依市玛耳	以实玛利	67	译名
依市玛雅	以实买雅	1	按语境区分译名
依市玛雅	伊施玛雅	1	按语境区分译名
依市瓦	亦施瓦	2	译名
依市默赖	伊施米莱	1	译名
依弗大	耶弗他	30	译名
依弗达	益弗他	1	译名
依德巴士	伊得巴	1	译名
依德拉夫	益拉	1	译名
依德阿拉	以大拉	1	译名
依提耳	以铁	4	译名
依撒伯尔	以利沙伯	10	译名
依撒加尔	以萨迦	44	译名
依撒意亚	以赛亚	59	译名
依撒格	以撒	166	译名
依斯加略	加略	5	译名
依斯加略犹达斯	加略人犹大	1	译名
依斯玛基雅	伊斯玛基雅	1	译名
依杜默雅	以土买	10	译名
依次勒耳	耶斯列	48	译名
依次辣希雅	伊斯拉希	2	译名
依次辣黑	伊斯拉	1	译名
依次里雅	伊斯利亚	1	译名
依泰	以太	10	译名
依特兰	以特念	2	译名
依特兰	益兰	1	译名
依特南	以提楠	1	译名
依特拉	伊提拉	1	译名
依特玛	伊特玛	1	译名
依特辣	以特拉	2	译名
依特郎	益兰	1	译名
依瓦	以瓦	3	译名
依科尼雍	以哥念	6	译名
依突勒雅	以土利亚	1	译名
依耶阿巴陵	以耶亚巴琳	1	译名
依色加	亦迦	1	译名
依贝乃雅	伊比尼雅	1	译名
依贝哈尔	益辖	3	译名
依贝尼雅	伊比尼雅	1	译名
依贝散	易伯散	1	译名
